station_id,actual,idw_pred,idw_abs_error,nearest_pred,nearest_abs_error
cpcb_MH002,107.9,103.4,4.5,103.4,4.5
cpcb_MH003,103.4,107.9,4.5,107.9,4.5
cpcb_MH004,135.6,129.1,6.5,129.1,6.5
cpcb_MH005,112.1,122.6,10.5,107.6,4.5
cpcb_MH006,107.6,123.1,15.5,112.1,4.5
cpcb_MH007,126.6,121.0,5.6,112.1,14.5
cpcb_MH008,103.2,123.6,20.4,112.1,8.9
cpcb_MH009,109.3,122.9,13.6,112.1,2.8
cpcb_MH010,138.9,119.6,19.3,112.1,26.8
cpcb_MH011,129.0,120.7,8.3,112.1,16.9
cpcb_MH012,125.1,121.1,4.0,112.1,13.0
cpcb_MH013,124.7,121.2,3.5,112.1,12.6
cpcb_MH014,138.8,119.6,19.2,112.1,26.7
cpcb_MH015,125.8,203.1,77.3,203.1,77.3
cpcb_MH016,107.7,126.5,18.8,126.3,18.6
cpcb_MH017,129.6,125.9,3.7,114.2,15.4
cpcb_MH018,114.2,133.5,19.3,129.6,15.4
cpcb_MH019,137.5,121.9,15.6,129.6,7.9
cpcb_MH020,126.5,121.0,5.5,136.2,9.7
cpcb_MH021,135.4,122.7,12.7,122.7,12.7
cpcb_MH022,128.5,132.0,3.5,137.2,8.7
cpcb_ML001,96.4,160.0,63.6,160.2,63.8
cpcb_MP001,163.6,182.1,18.5,181.3,17.7
cpcb_MP002,143.3,171.4,28.1,171.2,27.9
cpcb_MP003,165.5,190.3,24.8,190.4,24.9
cpcb_MP004,159.5,167.2,7.7,167.2,7.7
cpcb_MP005,167.2,159.5,7.7,159.5,7.7
cpcb_MP006,144.1,202.0,57.9,209.3,65.2
cpcb_MP007,152.8,153.1,0.3,149.9,2.9
cpcb_MP008,179.0,182.0,3.0,178.2,0.8
cpcb_MP009,216.2,132.5,83.7,127.4,88.8
cpcb_MP010,179.4,213.6,34.2,214.7,35.3
cpcb_MP011,209.3,250.0,40.7,252.7,43.4
cpcb_MP012,173.8,114.0,59.8,113.9,59.9
cpcb_MP013,157.3,181.2,23.9,180.2,22.9
cpcb_MP014,207.8,118.4,89.4,116.7,91.1
cpcb_MP015,148.5,182.7,34.2,177.4,28.9
cpcb_MP016,158.1,213.8,55.7,214.3,56.2
cpcb_MZ001,99.4,131.6,32.2,131.6,32.2
cpcb_OD001,138.7,161.7,23.0,159.6,20.9
cpcb_OD002,143.0,157.7,14.7,157.2,14.2
cpcb_PB001,173.9,181.7,7.8,181.6,7.7
cpcb_PB002,165.2,208.3,43.1,207.8,42.6
cpcb_PB003,157.3,187.8,30.5,187.8,30.5
cpcb_PB004,177.1,188.1,11.0,197.7,20.6
cpcb_PB005,107.5,147.3,39.8,137.9,30.4
cpcb_PB006,128.4,158.5,30.1,145.6,17.2
cpcb_PB007,165.9,216.2,50.3,217.6,51.7
cpcb_PB008,205.5,111.8,93.7,100.2,105.3
cpcb_RJ001,153.0,152.3,0.7,146.2,6.8
cpcb_RJ002,136.9,133.3,3.6,132.3,4.6
cpcb_RJ003,137.0,180.0,43.0,179.3,42.3
cpcb_RJ004,147.6,140.3,7.2,130.2,17.4
cpcb_RJ005,130.2,149.0,18.8,147.6,17.4
cpcb_RJ006,150.5,138.9,11.6,147.6,2.9
cpcb_RJ007,147.8,152.9,5.1,152.2,4.4
cpcb_RJ008,143.0,186.8,43.8,184.4,41.4
cpcb_RJ009,153.0,171.6,18.6,171.5,18.5
cpcb_RJ010,158.3,153.3,5.0,149.7,8.6
cpcb_TG001,138.6,78.7,59.9,57.0,81.6
cpcb_TG002,57.0,95.1,38.1,138.6,81.6
cpcb_TG003,96.4,87.2,9.2,138.6,42.2
cpcb_TG004,79.1,90.6,11.5,138.6,59.5
cpcb_TG005,113.5,83.8,29.7,138.6,25.1
cpcb_TG006,47.7,96.9,49.2,138.6,90.9
cpcb_TN001,77.2,73.6,3.6,88.9,11.7
cpcb_TN002,88.9,69.7,19.2,77.2,11.7
cpcb_TN003,60.1,79.3,19.2,77.2,17.1
cpcb_TN004,71.8,75.4,3.6,77.2,5.4
cpcb_TN005,70.0,93.6,23.6,95.9,25.9
cpcb_UP001,226.3,255.4,29.1,288.9,62.6
cpcb_UP002,237.6,259.6,22.0,265.3,27.7
cpcb_UP003,232.2,253.9,21.7,253.9,21.7
cpcb_UP004,209.9,215.2,5.3,223.4,13.5
cpcb_UP005,223.4,210.7,12.7,209.9,13.5
cpcb_UP006,209.7,215.3,5.6,209.9,0.2
cpcb_UP007,212.6,214.3,1.7,209.9,2.7
cpcb_UP008,185.8,189.7,3.9,189.7,3.9
cpcb_UP009,189.7,185.8,3.9,185.8,3.9
cpcb_UP010,204.7,252.4,47.7,256.2,51.5
cpcb_UP011,229.2,256.2,27.0,255.7,26.5
cpcb_UP012,230.8,170.6,60.2,212.0,18.8
cpcb_UP013,212.0,173.8,38.2,230.8,18.8
cpcb_UP014,207.9,174.5,33.4,230.8,22.9
cpcb_UP015,230.6,170.7,59.9,230.8,0.2
cpcb_UP016,214.4,173.4,41.0,230.8,16.4
cpcb_UP017,208.5,210.6,2.1,206.9,1.6
cpcb_UP018,206.9,211.4,4.5,208.5,1.6
cpcb_UP019,214.3,207.7,6.6,208.5,5.8
cpcb_UP020,207.9,256.0,48.1,255.0,47.1
cpcb_UP021,227.6,235.6,8.0,235.5,7.9
cpcb_UP022,218.0,208.3,9.7,209.4,8.6
cpcb_UP023,209.4,211.1,1.7,218.0,8.6
cpcb_UP024,212.3,210.2,2.1,218.0,5.7
cpcb_UP025,203.1,213.2,10.1,218.0,14.9
cpcb_UP026,205.6,245.3,39.7,268.3,62.7
cpcb_WB001,166.7,192.7,26.0,193.2,26.5
cpcb_WB002,165.5,192.0,26.5,195.4,29.9
cpcb_WB003,161.7,176.9,15.2,180.7,19.0
cpcb_WB004,154.6,182.4,27.8,184.6,30.0
cpcb_WB005,184.6,167.4,17.2,154.6,30.0
cpcb_WB006,180.3,169.6,10.7,154.6,25.7
cpcb_WB007,178.8,103.2,75.6,183.5,4.7
cpcb_WB008,183.5,102.9,80.6,178.8,4.7
cpcb_WB009,184.1,102.8,81.3,178.8,5.3
cpcb_WB010,159.1,104.7,54.4,178.8,19.7
cpcb_WB011,146.9,105.7,41.2,178.8,31.9
cpcb_WB012,164.6,104.3,60.3,178.8,14.2
cpcb_WB013,188.6,102.5,86.1,178.8,9.8
cpcb_WB014,159.6,173.2,13.6,172.6,13.0
delhi_anand_vihar,336.7,316.0,20.7,316.4,20.3
delhi_ito,323.0,146.4,176.6,143.8,179.2
delhi_lodhi_road,311.9,162.1,149.8,162.1,149.8
delhi_punjabi_bagh,318.9,293.7,25.2,293.7,25.2
delhi_rk_puram,316.1,302.4,13.7,302.6,13.5
demo_station_1,277.6,181.2,96.4,137.2,140.4
demo_station_2,274.9,181.6,93.3,186.5,88.4
demo_station_3,243.1,202.8,40.3,280.4,37.3
demo_station_4,215.7,192.2,23.5,183.3,32.4
demo_station_5,157.7,212.3,54.6,215.7,58.0
demo_station_6,280.4,196.6,83.8,215.7,64.7
demo_station_7,183.3,217.1,33.8,215.7,32.4
demo_station_8,137.2,225.9,88.7,277.6,140.4
hyderabad_charminar,94.4,90.4,4.0,95.3,0.9
hyderabad_gachibowli,105.1,87.9,17.2,75.8,29.3
hyderabad_hitech_city,89.7,101.2,11.5,105.1,15.4
hyderabad_sanathnagar,93.9,120.1,26.2,123.2,29.3
hyderabad_zoo,95.3,74.3,21.0,74.2,21.1
kaggle_UP015,53.0,200.3,147.3,230.8,177.8
kaggle_UP016,106.0,191.4,85.4,230.8,124.8
kaggle_WB007,30.0,114.7,84.7,178.8,148.8
kaggle_WB008,52.0,113.0,61.0,178.8,126.8
kaggle_WB009,38.0,114.0,76.0,178.8,140.8
kaggle_WB010,35.0,114.3,79.3,178.8,143.8
kaggle_WB011,62.0,112.2,50.2,178.8,116.8
kaggle_WB012,39.0,114.0,75.0,178.8,139.8
kaggle_WB013,59.0,112.4,53.4,178.8,119.8
kolkata_howrah,165.6,127.4,38.2,178.8,13.2
kolkata_jadavpur,159.3,210.4,51.1,212.7,53.4
kolkata_rabindra_bharati,154.0,124.2,29.8,178.8,24.8
kolkata_salt_lake,156.4,154.2,2.2,208.5,52.1
kolkata_victoria,167.8,195.3,27.5,199.6,31.8
mumbai_andheri,138.6,132.8,5.8,132.1,6.5
mumbai_bandra,140.9,127.0,13.9,151.4,10.5
mumbai_colaba,131.7,117.5,14.2,107.1,24.6
mumbai_navi,126.5,127.4,0.9,120.5,6.0
mumbai_worli,129.9,131.1,1.2,133.1,3.2
nagpur_civil_lines,182.9,190.8,7.9,125.8,57.1
nagpur_mankapur,180.2,201.7,21.5,243.1,62.9
nagpur_mihan,179.3,194.7,15.4,186.5,7.2
nagpur_ramdaspeth,186.5,242.1,55.6,274.9,88.4
nagpur_sitabuldi,203.1,126.0,77.1,125.8,77.3
pune_hadapsar,83.3,148.0,64.7,149.9,66.6
pune_hinjawadi,86.0,124.0,38.0,126.3,40.3
pune_karve_road,101.7,130.3,28.6,141.6,39.9
pune_katraj,95.4,121.2,25.8,141.6,46.2
pune_shivajinagar,95.7,133.9,38.2,136.2,40.5
